Date,Open,High,Low,Close,Adj Close,Volume
1980-04-11,5.9375,5.96875,5.875,5.921875,2.108405113220215,400000
1980-04-14,5.890625,5.890625,5.828125,5.828125,2.075026512145996,562400
1980-04-15,5.8125,5.8125,5.625,5.6875,2.024959087371826,640800
1980-04-16,5.6875,5.765625,5.5625,5.5625,1.980455756187439,923200
1980-04-17,5.5625,5.59375,5.484375,5.59375,1.9915804862976074,690400
1980-04-18,5.59375,5.59375,5.515625,5.5625,1.980455756187439,359200
1980-04-21,5.5625,5.59375,5.515625,5.546875,1.9748927354812622,345600
1980-04-22,5.578125,5.734375,5.578125,5.71875,2.0360865592956543,1365600
1980-04-23,5.71875,5.78125,5.671875,5.765625,2.052773952484131,539200
1980-04-24,5.765625,5.96875,5.765625,5.921875,2.108405113220215,370400
1980-04-25,5.921875,6.0,5.875,6.0,2.1362204551696777,300800
1980-04-28,6.0,6.046875,5.953125,6.0,2.1362204551696777,331200
1980-04-29,6.0,6.046875,6.0,6.0,2.1362204551696777,528800
1980-04-30,5.984375,5.984375,5.828125,5.875,2.0917158126831055,732800
1980-05-01,5.84375,5.84375,5.71875,5.734375,2.041649103164673,961600
1980-05-02,5.703125,5.703125,5.609375,5.609375,1.9971427917480469,983200
1980-05-05,5.609375,5.671875,5.609375,5.640625,2.008270025253296,820000
1980-05-06,5.640625,5.734375,5.625,5.703125,2.0305213928222656,2059200
1980-05-07,5.734375,5.859375,5.734375,5.8125,2.069463014602661,580800
1980-05-08,5.8125,5.875,5.8125,5.859375,2.0861542224884033,870400
1980-05-09,5.828125,5.828125,5.5,5.5625,1.980455756187439,1952800
1980-05-12,5.5625,5.609375,5.46875,5.578125,1.9860175848007202,1560000
1980-05-13,5.578125,5.8125,5.5625,5.8125,2.069463014602661,896000
1980-05-14,5.859375,5.921875,5.859375,5.90625,2.102842330932617,1128000
1980-05-15,5.890625,5.890625,5.859375,5.875,2.0917158126831055,824800
1980-05-16,5.875,5.890625,5.859375,5.890625,2.0972795486450195,564800
1980-05-19,5.890625,5.9375,5.828125,5.90625,2.102842330932617,503200
1980-05-20,5.90625,5.953125,5.875,5.875,2.0917158126831055,755200
1980-05-21,5.875,5.875,5.84375,5.875,2.0917158126831055,444000
1980-05-22,5.875,5.9375,5.84375,5.9375,2.1139676570892334,471200
1980-05-23,6.0,6.203125,6.0,6.125,2.180724859237671,1172800
1980-05-27,6.140625,6.296875,6.140625,6.25,2.2252278327941895,641600
1980-05-28,6.25,6.328125,6.203125,6.296875,2.2419183254241943,667200
1980-05-29,6.28125,6.28125,6.109375,6.109375,2.1751627922058105,730400
1980-05-30,6.109375,6.1875,6.046875,6.171875,2.197415590286255,645600
1980-06-02,6.140625,6.140625,6.015625,6.015625,2.1417829990386963,324000
1980-06-03,6.0,6.0,5.953125,5.96875,2.1250946521759033,492800
1980-06-04,5.96875,6.0625,5.890625,6.0625,2.1584720611572266,786400
1980-06-05,6.09375,6.296875,6.09375,6.265625,2.23079252243042,2689600
1980-06-06,6.265625,6.3125,6.234375,6.3125,2.247480630874634,1176000
1980-06-09,6.3125,6.359375,6.21875,6.234375,2.219667673110962,365600
1980-06-10,6.234375,6.3125,6.203125,6.21875,2.2141036987304688,1000000
1980-06-11,6.234375,6.296875,6.234375,6.296875,2.2419183254241943,396800
1980-06-12,6.296875,6.296875,6.21875,6.296875,2.2419183254241943,1055200
1980-06-13,6.296875,6.3125,6.234375,6.28125,2.2363553047180176,793600
1980-06-16,6.28125,6.28125,6.25,6.25,2.2252278327941895,582400
1980-06-17,6.25,6.328125,6.25,6.328125,2.253044366836548,744800
1980-06-18,6.328125,6.40625,6.296875,6.40625,2.2808594703674316,327200
1980-06-19,6.375,6.375,6.234375,6.25,2.2252278327941895,592000
1980-06-20,6.234375,6.234375,6.1875,6.203125,2.208540678024292,650400
1980-06-23,6.203125,6.296875,6.1875,6.21875,2.2141036987304688,581600
1980-06-24,6.21875,6.296875,6.21875,6.296875,2.2419183254241943,888800
1980-06-25,6.296875,6.5625,6.28125,6.53125,2.3253653049468994,1174400
1980-06-26,6.546875,6.75,6.546875,6.65625,2.369870185852051,1069600
1980-06-27,6.65625,6.71875,6.625,6.6875,2.3809962272644043,285600
1980-06-30,6.671875,6.671875,6.59375,6.59375,2.3476178646087646,316800
1980-07-01,6.59375,6.640625,6.53125,6.625,2.3587419986724854,500800
